symbol,timestamp,open,high,low,close,trade_count,base_volume,counter_volume,avg
USDC/XLM,2021-02-02 00:45:56.608,3.0725013,3.0725013,3.0725013,3.0725013,1,9.0000000,27.6525114,3.0725013
USDC/XLM,2021-02-02 00:56:51.968,3.0502747,3.0502747,3.0502747,3.0502747,1,10.0261265,30.5824399,3.0502747
USDC/XLM,2021-02-02 01:05:36.256,3.0887203,3.0887203,3.0887203,3.0887203,1,5.0000000,15.4436015,3.0887203
USDC/XLM,2021-02-02 01:16:31.616,3.0942224,3.0942224,3.0942224,3.0942224,1,3.1929772,9.8797817,3.0942224
USDC/XLM,2021-02-02 01:18:42.688,3.0949149,3.0949149,3.0949149,3.0949149,1,0.9915340,3.0687134,3.0949149
USDC/XLM,2021-02-02 01:18:42.688,3.0863655,3.0863655,3.0863655,3.0863655,1,5.0000000,15.4318276,3.0863655
USDC/XLM,2021-02-02 01:31:49.120,3.0827568,3.0827568,3.0827568,3.0827568,1,3.2438497,10.0000000,3.0827569
USDC/XLM,2021-02-02 01:38:22.336,3.0483731,3.0483731,3.0483731,3.0483731,1,4.0000000,12.1934925,3.0483731
USDC/XLM,2021-02-02 01:53:39.840,3.1188082,3.1188082,3.1188082,3.1188082,1,2.0000000,6.2376164,3.1188082
USDC/XLM,2021-02-02 02:00:13.056,3.1100000,3.1100000,3.1100000,3.1100000,1,100.0000000,311.0000000,3.1100000
USDC/XLM,2021-02-02 02:08:57.344,3.0999149,3.0999149,3.0999149,3.0999149,1,1.9645636,6.0899800,3.0999149
USDC/XLM,2021-02-02 02:15:30.560,3.0976852,3.0976852,3.0976852,3.0976852,1,6.7792557,21.0000000,3.0976852
USDC/XLM,2021-02-02 02:35:10.208,3.1250000,3.1250000,3.1250000,3.1250000,1,3.3761361,10.5504254,3.1250000
USDC/XLM,2021-02-02 02:37:21.280,3.1143548,3.1143548,3.1143548,3.1143548,1,13.4704313,41.9517024,3.1143548
USDC/XLM,2021-02-02 03:27:35.936,3.1230054,3.1287882,3.1230054,3.1287882,2,319.6162533,1000.0000000,3.1287520
USDC/XLM,2021-02-02 04:09:06.304,3.1206629,3.1206629,3.1206629,3.1206629,1,2.4033387,7.5000100,3.1206629
USDC/XLM,2021-02-02 04:26:34.880,3.0741346,3.0741346,3.0741346,3.0741346,1,343.1860140,1055.0000000,3.0741346
USDC/XLM,2021-02-02 04:30:57.024,3.0931148,3.0931148,3.0931148,3.0931148,1,969.8961000,3000.0000000,3.0931148
USDC/XLM,2021-02-02 04:37:30.240,3.0839412,3.0839412,3.0839412,3.0839412,1,972.7812000,3000.0000000,3.0839412
USDC/XLM,2021-02-02 04:44:03.456,3.1180559,3.1180559,3.1180559,3.1180559,1,1.0000000,3.1180560,3.1180560
USDC/XLM,2021-02-02 04:48:25.600,3.1022542,3.1022542,3.1022542,3.1022542,1,100.0000000,310.2254219,3.1022542
USDC/XLM,2021-02-02 04:57:09.888,3.0400193,3.0400193,3.0400193,3.0400193,2,329.0000000,1000.1663497,3.0400193
USDC/XLM,2021-02-02 05:03:43.104,3.1177574,3.1177574,3.1177574,3.1177574,1,0.9800000,3.0554023,3.1177574
USDC/XLM,2021-02-02 05:38:40.256,3.1451614,3.1451614,3.1451614,3.1451614,1,1.0000000,3.1451614,3.1451614
USDC/XLM,2021-02-02 06:02:42.048,3.1424862,3.1424862,3.1424862,3.1424862,1,35.0041310,110.0000000,3.1424862
USDC/XLM,2021-02-02 06:35:28.128,3.1438526,3.1438526,3.1438526,3.1438526,1,477.1216047,1500.0000000,3.1438526
USDC/XLM,2021-02-02 06:37:39.200,3.1438526,3.1438526,3.1438526,3.1438526,1,100.0000000,314.3852600,3.1438526
USDC/XLM,2021-02-02 06:52:56.704,3.1250000,3.1250000,3.1250000,3.1250000,1,9.6000000,30.0000000,3.1250000
USDC/XLM,2021-02-02 07:21:20.640,3.1613342,3.1613342,3.1613342,3.1613342,1,2.0557269,6.4988400,3.1613343
USDC/XLM,2021-02-02 08:22:30.656,3.1528584,3.1528584,3.1528584,3.1528584,1,1.2686900,4.0000000,3.1528585
USDC/XLM,2021-02-02 08:31:14.944,3.0657149,3.0657149,3.0657149,3.0657149,1,6.5237638,20.0000000,3.0657149
